noise,sampCorr,rel,attCorrectedCorr
0.000,0.903,1.000,0.903
0.200,0.867,0.962,0.902
0.400,0.764,0.862,0.886
0.600,0.654,0.735,0.889
0.800,0.543,0.610,0.891
1.000,0.453,0.500,0.907
