n,totalPerms,score,number,cumprob
4,24,4,1,0.041666666666666664
5,120,4,0,0.008333333333333333
6,720,4,15,0.02222222222222222
7,5040,4,70,0.018253968253968255
8,40320,4,630,0.01912202380952381
9,362880,4,5544,0.01896770282186949
10,3628800,4,55650,0.018990850970017636
11,39916800,4,611820,0.018987844717011385
12,479001600,4,7342335,0.018988189183501685
13,6227020800,4,95449640.00000001,0.018988153853605243
14,87178291200,4,1336295961,0.018988157134238483
